id,criterion,finding_type,priority_level,title,description,enhanced_confidence,criteria_scores,criteria_met,impact_score,companies_affected,quote_count,selected_quotes,themes,deal_impacts,generated_at,created_at,client_id,credibility_tier,evidence_threshold_met,quote_ids_used,processing_metadata,criteria_prioritization_evidence,interview_companies,interviewee_names
2330,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:25.605497,2025-07-11 16:14:25.689946,Rev,Unclassified,true,[],{},{},[],[]
2331,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:25.712301,2025-07-11 16:14:25.808362,Rev,Unclassified,true,[],{},{},[],[]
2332,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:25.843822,2025-07-11 16:14:25.965865,Rev,Unclassified,true,[],{},{},[],[]
2333,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:25.978296,2025-07-11 16:14:26.072581,Rev,Unclassified,true,[],{},{},[],[]
2334,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:26.098205,2025-07-11 16:14:26.187417,Rev,Unclassified,true,[],{},{},[],[]
2335,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:26.2047,2025-07-11 16:14:26.295028,Rev,Unclassified,true,[],{},{},[],[]
2336,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:26.308723,2025-07-11 16:14:26.40111,Rev,Unclassified,true,[],{},{},[],[]
2337,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:26.425027,2025-07-11 16:14:26.525276,Rev,Unclassified,true,[],{},{},[],[]
2338,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:26.545028,2025-07-11 16:14:26.633106,Rev,Unclassified,true,[],{},{},[],[]
2339,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:26.652646,2025-07-11 16:14:26.738087,Rev,Unclassified,true,[],{},{},[],[]
2340,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:26.752744,2025-07-11 16:14:26.844254,Rev,Unclassified,true,[],{},{},[],[]
2341,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:26.859674,2025-07-11 16:14:26.945943,Rev,Unclassified,true,[],{},{},[],[]
2342,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:26.975051,2025-07-11 16:14:27.059933,Rev,Unclassified,true,[],{},{},[],[]
2343,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:27.07509,2025-07-11 16:14:27.16734,Rev,Unclassified,true,[],{},{},[],[]
2344,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:27.184109,2025-07-11 16:14:27.267418,Rev,Unclassified,true,[],{},{},[],[]
2345,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:27.285901,2025-07-11 16:14:27.371673,Rev,Unclassified,true,[],{},{},[],[]
2346,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:27.385818,2025-07-11 16:14:27.469838,Rev,Unclassified,true,[],{},{},[],[]
2347,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:27.492883,2025-07-11 16:14:27.583805,Rev,Unclassified,true,[],{},{},[],[]
2348,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:27.601516,2025-07-11 16:14:27.694355,Rev,Unclassified,true,[],{},{},[],[]
2349,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:27.712256,2025-07-11 16:14:27.808907,Rev,Unclassified,true,[],{},{},[],[]
2350,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:27.825589,2025-07-11 16:14:27.919563,Rev,Unclassified,true,[],{},{},[],[]
